# date	time	lat	lon	hdop
14:29:43	2018-12-19	51.0577767	3.7368817	10.7
14:29:44	2018-12-19	51.0577767	3.7368817	10.2
14:29:46	2018-12-19	51.0577767	3.7368817	8.9
14:29:48	2018-12-19	51.0577767	3.7368817	8.8
14:29:50	2018-12-19	51.0577767	3.7368817	10.9
14:29:52	2018-12-19	51.0577767	3.7368817	10.9
14:29:53	2018-12-19	51.0577767	3.7368817	12.9
14:29:55	2018-12-19	51.0577767	3.7368817	11.2
14:29:57	2018-12-19	51.0577783	3.7368533	5.9
14:29:58	2018-12-19	51.05776	3.7368717	6.7
14:30:00	2018-12-19	51.05772	3.7368917	6.2
14:30:01	2018-12-19	51.0577267	3.7369	5.8
14:30:02	2018-12-19	51.0577417	3.736925	7.3
14:30:04	2018-12-19	51.0577733	3.73701	8.6
14:30:05	2018-12-19	51.05778	3.7370717	8.7
14:30:06	2018-12-19	51.0577967	3.73712	9
14:30:08	2018-12-19	51.0578267	3.7372217	9.1
14:30:09	2018-12-19	51.0578367	3.7372717	9.2
14:30:11	2018-12-19	51.0578517	3.7373783	8.8
14:30:13	2018-12-19	51.0578633	3.7374733	7.8
14:30:14	2018-12-19	51.057865	3.7375133	6.9
14:30:16	2018-12-19	51.0578517	3.73758	6.2
14:30:17	2018-12-19	51.0578317	3.737605	6.6
14:30:18	2018-12-19	51.0578117	3.7376267	6.7
14:30:20	2018-12-19	51.05776	3.7376717	7.9
14:30:21	2018-12-19	51.0577233	3.7376917	8.8
14:30:23	2018-12-19	51.05765	3.7377333	9
14:30:24	2018-12-19	51.05762	3.7377583	8.4
14:30:26	2018-12-19	51.05755	3.7378017	8.8
14:30:27	2018-12-19	51.0575117	3.737825	10.2
14:30:29	2018-12-19	51.05747	3.7378333	9.7
14:30:30	2018-12-19	51.05737	3.7378317	10
14:30:31	2018-12-19	51.0573333	3.73784	9.6
14:30:32	2018-12-19	51.0573	3.73786	8.9
14:30:34	2018-12-19	51.0572383	3.7379067	9
14:30:36	2018-12-19	51.05718	3.7379583	8.3
14:30:37	2018-12-19	51.057155	3.7379767	7.9
14:30:38	2018-12-19	51.057135	3.7379967	7
14:30:40	2018-12-19	51.0570967	3.73804	6.4
14:30:41	2018-12-19	51.0570883	3.7380533	5.4
14:30:43	2018-12-19	51.0570667	3.7380733	4.2
14:30:45	2018-12-19	51.057065	3.7380633	7.7
14:30:46	2018-12-19	51.057065	3.7380633	6.6
14:30:48	2018-12-19	51.057065	3.7380633	10
14:30:50	2018-12-19	51.0571	3.7380083	4.8
14:30:51	2018-12-19	51.0571117	3.738	4.8
14:30:53	2018-12-19	51.0571333	3.737985	4.8
